"original_path","new_path","category","experiment_id","action","reason","verified","migration_phase"
"features_old/EXP1_Evaluar_ConceptDrift_45F.py","legacy/macro/features_old/EXP1_Evaluar_ConceptDrift_45F.py","LEGACY","MACRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/EXP1_Train_45F_Invariantes.py","legacy/macro/features_old/EXP1_Train_45F_Invariantes.py","LEGACY","MACRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/VF3_Evaluar_ConceptDrift_Vectores.py","legacy/micro/concept_drift_old/VF3_Evaluar_ConceptDrift_Vectores.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VP1_Transformers.py","legacy/micro/initial/VP1_Transformers.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VP2_Transformers_directions.py","legacy/micro/initial/VP2_Transformers_directions.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VF3_Evaluar_ConceptDrift_Vectores.py","legacy/micro/root/VF3_Evaluar_ConceptDrift_Vectores.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"vectores/VF3_Evaluar_ConceptDrift_Vectores.py","legacy/micro/vectores/VF3_Evaluar_ConceptDrift_Vectores.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"vectores/VP_Test_modelos.py","legacy/micro/vectores/VP_Test_modelos.py","LEGACY","MICRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"Vectores-24h/V24H_01_Prototipos_Vectoriales.py","legacy/prototypes/Vectores-24h/V24H_01_Prototipos_Vectoriales.py","LEGACY","PROTO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"01_XB_prueba.py","legacy/prototypes/root/01_XB_prueba.py","LEGACY","PROTO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"4_modelo_final.py","legacy/prototypes/root/4_modelo_final.py","LEGACY","PROTO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"P2_MLP_prueba.py","legacy/prototypes/root/P2_MLP_prueba.py","LEGACY","PROTO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"P3_TabNET_prueba.py","legacy/prototypes/root/P3_TabNET_prueba.py","LEGACY","PROTO-002","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"P4_Transformers_prueba.py","legacy/prototypes/root/P4_Transformers_prueba.py","LEGACY","PROTO-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"vectores_features_v2/DIA_01_Aislamiento_Sitios_Estables.py","scripts/diagnostics/DIA_01_Aislamiento_Sitios_Estables.py","CURRENT","DIAG-002","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"Script_Validacion_Archivos.py","scripts/diagnostics/Script_Validacion_Archivos.py","CURRENT","DIAG-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"vectores/V_revision.py","scripts/diagnostics/V_revision.py","CURRENT","DIAG-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"vectores_features_v2/graficar_resultados_EXP.py","scripts/diagnostics/graficar_resultados_EXP.py","CURRENT","DIAG-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"run_all.sh","scripts/evaluate/run_all.sh","CURRENT","DIAG-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"features/run_features.sh","scripts/preprocess/run_features.sh","CURRENT","FEAT-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"vectores/run_baselines.sh","scripts/train/run_baselines.sh","CURRENT","MICRO-002","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"estado_del_arte/run_estado_del_arte.sh","scripts/train/run_estado_del_arte.sh","CURRENT","SOTA-001","git mv","Separar lanzadores y diagnósticos operativos del código fuente.","true","1"
"01_preprocesamiento.py","src/data/01_preprocesamiento.py","CURRENT","DATA-001","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"02_preprocesamiento_d_f_24.py","src/data/02_preprocesamiento_d_f_24.py","CURRENT","DATA-002","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"04_feature_aggregation.py","src/data/04_feature_aggregation.py","CURRENT","DATA-002","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"05_inter_day_dynamics_invariante.py","src/data/05_inter_day_dynamics_invariante.py","CURRENT","DATA-002","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"05_inter_day_dynamics_serie.py","src/data/05_inter_day_dynamics_serie.py","CURRENT","DATA-002","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"doc_mapeo_datos.py","src/data/doc_mapeo_datos.py","CURRENT","DATA-002","git mv","Ubicación canónica del pipeline de datos activo.","true","1"
"features/EXP1_Evaluar_Invariantes.py","src/evaluation/EXP1_Evaluar_Invariantes.py","CURRENT","MACRO-002","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP2_Evaluar_94F3000V_Neutro.py","src/evaluation/EXP2_Evaluar_94F3000V_Neutro.py","CURRENT","HYB-003","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP3_Evaluar_94F3000V_InclinadoF.py","src/evaluation/EXP3_Evaluar_94F3000V_InclinadoF.py","CURRENT","HYB-004","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP4_Evaluar_94F3000V_InclinadoV.py","src/evaluation/EXP4_Evaluar_94F3000V_InclinadoV.py","CURRENT","HYB-005","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP5_Evaluar_94F3000V_CrossAttention.py","src/evaluation/EXP5_Evaluar_94F3000V_CrossAttention.py","CURRENT","HYB-006","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP6_Evaluar_DML_InclinadoV.py","src/evaluation/EXP6_Evaluar_DML_InclinadoV.py","CURRENT","DML-001","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"concept_drift/EXP7_Evaluar_Transfer_DML.py","src/evaluation/EXP7_Evaluar_Transfer_DML.py","CURRENT","DML-002","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"vectores/VP_Evaluar_ConceptDrift_Vectores.py","src/evaluation/VP_Evaluar_ConceptDrift_Vectores.py","CURRENT","MICRO-002","git mv","Separar evaluación de los modelos sin refactorizar imports.","true","1"
"features/GEN_01B_Degradacion_Drift.py","src/features/GEN_01B_Degradacion_Drift.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_01_Ranking_Outliers.py","src/features/GEN_01_Ranking_Outliers.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_02_PCA.py","src/features/GEN_02_PCA.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_03_Ortogonalidad.py","src/features/GEN_03_Ortogonalidad.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_04_PSI_KDE.py","src/features/GEN_04_PSI_KDE.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_05_PCA_Traslacion.py","src/features/GEN_05_PCA_Traslacion.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/GEN_06_Similitud_Metric.py","src/features/GEN_06_Similitud_Metric.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"features/README.md","src/features/README.md","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"concept_drift/Reduccion_Features.py","src/features/Reduccion_Features.py","CURRENT","FEAT-001","git mv","Ubicación canónica del pipeline Macro/features activo.","true","1"
"vectores_features_v2/EXP6_Train_DML_InclinadoV.py","src/models/dml/EXP6_Train_DML_InclinadoV.py","CURRENT","DML-001","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores_features_v2/EXP7_Train_Transfer_DML.py","src/models/dml/EXP7_Train_Transfer_DML.py","CURRENT","DML-002","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores_features_v2/EXP2_Train_94F3000V_Neutro.py","src/models/hybrid/EXP2_Train_94F3000V_Neutro.py","CURRENT","HYB-003","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores_features_v2/EXP3_Train_94F3000V_InclinadoF.py","src/models/hybrid/EXP3_Train_94F3000V_InclinadoF.py","CURRENT","HYB-004","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores_features_v2/EXP4_Train_94F3000V_InclinadoV.py","src/models/hybrid/EXP4_Train_94F3000V_InclinadoV.py","CURRENT","HYB-005","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores_features_v2/EXP5_Train_94F3000V_CrossAttention.py","src/models/hybrid/EXP5_Train_94F3000V_CrossAttention.py","CURRENT","HYB-006","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"features/EXP1_Train_Invariantes.py","src/models/macro/EXP1_Train_Invariantes.py","CURRENT","MACRO-002","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"features/EXP2_XGBoost_MetaFeatures_24h.py","src/models/macro/EXP2_XGBoost_MetaFeatures_24h.py","CURRENT","MACRO-003","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores/README.md","src/models/micro/README.md","CURRENT","MICRO-002","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"vectores/VP1_Transformers_dir_size.py","src/models/micro/VP1_Transformers_dir_size.py","CURRENT","MICRO-002","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"estado_del_arte/README.md","src/models/sota/README.md","CURRENT","SOTA-001","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"estado_del_arte/SOTA_01_CUMUL_SVM.py","src/models/sota/SOTA_01_CUMUL_SVM.py","CURRENT","SOTA-001","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"estado_del_arte/SOTA_02_DeepFingerprinting_CNN.py","src/models/sota/SOTA_02_DeepFingerprinting_CNN.py","CURRENT","SOTA-002","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"estado_del_arte/SOTA_03_Rimmer_LSTM.py","src/models/sota/SOTA_03_Rimmer_LSTM.py","CURRENT","SOTA-003","git mv","Ubicación canónica de la implementación activa por familia.","true","1"
"01_all_features.csv","01_all_features.csv","LOCAL_DATASET","DS-011","retain-local-artifact","Dataset local grande; no mover hasta reconciliar con Zeus.","true","1"
"final_vectors_sites.csv","final_vectors_sites.csv","LOCAL_DATASET","DS-012","retain-local-artifact","Dataset local grande; no mover hasta reconciliar con Zeus.","true","1"
"05_01_daily_embeddings_maestras.csv","05_01_daily_embeddings_maestras.csv","LOCAL_DATASET","DS-017","retain-local-artifact","Dataset/embedding local; conservar temporalmente fuera del código fuente.","true","1"
"06_all_site_embeddings_maestras.csv","06_all_site_embeddings_maestras.csv","LOCAL_DATASET","DS-018","retain-local-artifact","Dataset/embedding local; conservar temporalmente fuera del código fuente.","true","1"
"site_dictionary.csv","site_dictionary.csv","LOCAL_DATASET","DS-019","retain-local-artifact","Metadato local; conservar junto a los datasets hasta reconciliar con Zeus.","true","1"
"Graficas/01_Importancia_Variables_Inmutables.png","Graficas/01_Importancia_Variables_Inmutables.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_11.png","Graficas/02_Plano_PCA_Sitio_11.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_18.png","Graficas/02_Plano_PCA_Sitio_18.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_19.png","Graficas/02_Plano_PCA_Sitio_19.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_32.png","Graficas/02_Plano_PCA_Sitio_32.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_33.png","Graficas/02_Plano_PCA_Sitio_33.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_34.png","Graficas/02_Plano_PCA_Sitio_34.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_35.png","Graficas/02_Plano_PCA_Sitio_35.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_4.png","Graficas/02_Plano_PCA_Sitio_4.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_7.png","Graficas/02_Plano_PCA_Sitio_7.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/02_Plano_PCA_Sitio_9.png","Graficas/02_Plano_PCA_Sitio_9.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/04_Distribucion_Drift.png","Graficas/04_Distribucion_Drift.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/05_Matriz_Correlacion_Capturas.png","Graficas/05_Matriz_Correlacion_Capturas.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/06_Matriz_Centroides_Similitud.png","Graficas/06_Matriz_Centroides_Similitud.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/07_KDE_Separabilidad_Similitud.png","Graficas/07_KDE_Separabilidad_Similitud.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/G_Final_1_DataLeakage.png","Graficas/G_Final_1_DataLeakage.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"Graficas/G_Final_2_EstadoDelArte.png","Graficas/G_Final_2_EstadoDelArte.png","LOCAL_ARTIFACT","DIAG-001","retain-local-artifact","Figura local; no reorganizar resultados antes de reconciliar con Zeus.","true","1"
"deep_metric_learning/G1_Analisis_Preprocesamiento_Comparativo.png","deep_metric_learning/G1_Analisis_Preprocesamiento_Comparativo.png","LOCAL_ARTIFACT","DML-003","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"deep_metric_learning/G2_Validacion_Lote_PK.png","deep_metric_learning/G2_Validacion_Lote_PK.png","LOCAL_ARTIFACT","DML-003","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"deep_metric_learning/G3_A_Curvas_Convergencia.png","deep_metric_learning/G3_A_Curvas_Convergencia.png","LOCAL_ARTIFACT","DML-003","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"deep_metric_learning/G3_B_Topologia_Latente_UMAP.png","deep_metric_learning/G3_B_Topologia_Latente_UMAP.png","LOCAL_ARTIFACT","DML-003","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"features_old/G2_Degradacion_Concept_Drift.png","features_old/G2_Degradacion_Concept_Drift.png","LOCAL_ARTIFACT","FEAT-001","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"features_old/G8_Matriz_Similitud_Coseno.png","features_old/G8_Matriz_Similitud_Coseno.png","LOCAL_ARTIFACT","FEAT-001","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"features_old/G9_KDE_Similitud_Intra_Inter.png","features_old/G9_KDE_Similitud_Intra_Inter.png","LOCAL_ARTIFACT","FEAT-001","retain-local-artifact","Figura histórica local; no reorganizar artefactos antes de Zeus.","true","1"
"01_all_features.csv","data/local/historical/01_all_features.csv","LOCAL_DATASET","DS-011","git mv","Mover el dataset local fuera de la raíz; conservarlo sin mezclarlo con código.","true","2"
"final_vectors_sites.csv","data/local/historical/final_vectors_sites.csv","LOCAL_DATASET","DS-012","git mv","Mover el dataset local fuera de la raíz; conservarlo sin mezclarlo con código.","true","2"
"05_01_daily_embeddings_maestras.csv","data/local/historical/05_01_daily_embeddings_maestras.csv","LOCAL_DATASET","DS-017","git mv","Mover el dataset local fuera de la raíz; conservarlo sin mezclarlo con código.","true","2"
"06_all_site_embeddings_maestras.csv","data/local/historical/06_all_site_embeddings_maestras.csv","LOCAL_DATASET","DS-018","git mv","Mover el dataset local fuera de la raíz; conservarlo sin mezclarlo con código.","true","2"
"site_dictionary.csv","data/local/historical/site_dictionary.csv","LOCAL_DATASET","DS-019","git mv","Mover el dataset local fuera de la raíz; conservarlo sin mezclarlo con código.","true","2"
"Graficas/01_Importancia_Variables_Inmutables.png","results/historical/diagnostics/Graficas/01_Importancia_Variables_Inmutables.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_11.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_11.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_18.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_18.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_19.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_19.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_32.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_32.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_33.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_33.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_34.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_34.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_35.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_35.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_4.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_4.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_7.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_7.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/02_Plano_PCA_Sitio_9.png","results/historical/diagnostics/Graficas/02_Plano_PCA_Sitio_9.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/04_Distribucion_Drift.png","results/historical/diagnostics/Graficas/04_Distribucion_Drift.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
"Graficas/05_Matriz_Correlacion_Capturas.png","results/historical/diagnostics/Graficas/05_Matriz_Correlacion_Capturas.png","LOCAL_ARTIFACT","DIAG-001","git mv","Mover figura histórica a resultados conservando el subdirectorio de diagnóstico.","true","2"
