experiment_id,family,name,generation,status,research_role,input_representation,feature_set,sequence_length,train_dataset,validation_dataset,future_dataset,split_strategy,training_script,evaluation_script,model_file,checkpoint,scaler,label_encoder,seed,initial_accuracy,future_accuracy,accuracy_drop,accuracy_retention,result_source,known_issues,notes
HYB-006,HYB,94F Cross-Attention,current,R2,hybrid comparison,Micro query attends to Macro hourly sequence,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/hybrid/EXP5_Train_94F3000V_CrossAttention.py,src/evaluation/EXP5_Evaluar_94F3000V_CrossAttention.py,CrossAttentionHybrid,best_model_crossattn.pth,scaler_crossattn.joblib,le_crossattn.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,hardcoded,34.98 percent appears only in an old comment; not verified,Current hybrid attention experiment
HYB-LEGACY-001,HYB-LEGACY,Mega Hybrid v1,legacy,R1,historical hybrid,Micro direction plus size and Macro profile,robust feature set,3000,DS-003;DS-014,NONE,DS-007;DS-016,chronological per-site,legacy/hybrid/initial/VF1_Trans_dir_size_feat.py,not clearly identified,MegaHybridModel,mega_best_model_robust_3000.pth,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Scaler fitted before split; future is historical tail rather than remote drift,Historical hybrid
DML-001,DML,Hybrid multitask DML,current,R2,metric learning plus classification,Micro direction plus size and Macro profile,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/dml/EXP6_Train_DML_InclinadoV.py,src/evaluation/EXP6_Evaluar_DML_InclinadoV.py,DML hybrid encoder,best_model_dml_incV.pth,scaler_dml_incV.joblib,le_dml_incV.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Scaler fitted before split and PK/modality sampling is unseeded,Current DML experiment
DML-002,DML,Transfer DML,current,R2,metric learning transfer,HYB-005 encoder plus Macro profile,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/dml/EXP7_Train_Transfer_DML.py,src/evaluation/EXP7_Evaluar_Transfer_DML.py,Transfer DML encoder,best_model_dml_transfer.pth,scaler_dml_transfer.joblib,le_dml_transfer.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Depends on HYB-005 checkpoint; scaler fitted before split,Current transfer experiment
DML-003,DML,Phased DML pipeline,legacy,R2,independent DML pipeline,24 hourly tensors with direction size IAT,three-channel hourly tensors,3000,DS-002;DS-003,NONE,DS-006;DS-007,random split seed 42 with unseeded PK sampler,legacy/dml/phased/fase4_entrenamiento.py,legacy/dml/phased/fase5_evaluacion.py,HourlyEncoderDML,modelo_dml_pesos.pth,N/A,N/A,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,hardcoded,Phase 1 produces three channels while architecture documents/use sites indicate two,Independent DML line
SOTA-001,SOTA,CUMUL SVM,current,R1,traditional baseline,Macro feature rows,selected robust features,N/A,DS-014,NONE,DS-016,train on all historic,src/models/sota/SOTA_01_CUMUL_SVM.py,integrated,SVC RBF,N/A,StandardScaler in memory,implicit class mapping,42 where configured,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Historical training accuracy is not held-out validation,State-of-art baseline
SOTA-002,SOTA,Deep Fingerprinting CNN,current,R1,deep baseline,Direction sequence,direction only,3000,DS-003,NONE,DS-007,random stratified,src/models/sota/SOTA_02_DeepFingerprinting_CNN.py,integrated,CNN 1D,N/A,N/A,implicit encoder,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Checkpoint and logs absent,State-of-art baseline
SOTA-003,SOTA,Rimmer LSTM,current,R1,deep baseline,Direction sequence,direction only,3000,DS-003,NONE,DS-007,random stratified,src/models/sota/SOTA_03_Rimmer_LSTM.py,integrated,LSTM,N/A,N/A,implicit encoder,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Checkpoint and logs absent,State-of-art baseline
PROTO-001,PROTO,MLP,legacy,R1,exploratory prototype,Tabular macro features,script-specific,N/A,DS-013,NONE,UNKNOWN,script-specific,legacy/prototypes/root/P2_MLP_prueba.py,not clearly identified,MLP,N/A,script-specific,script-specific,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Not connected to final experiment results,Prototype
PROTO-002,PROTO,TabNet,legacy,R1,exploratory prototype,Tabular macro features,script-specific,N/A,DS-013,NONE,UNKNOWN,script-specific,legacy/prototypes/root/P3_TabNET_prueba.py,not clearly identified,TabNet,N/A,script-specific,script-specific,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Not connected to final experiment results,Prototype
PROTO-003,PROTO,Tabular Transformer,legacy,R1,exploratory prototype,Tabular macro features,master macro features,N/A,DS-013,NONE,UNKNOWN,random split,legacy/prototypes/root/P4_Transformers_prueba.py,not clearly identified,FTTransformer,output/transformer/ft_transformer_best_maestras.pth,NONE,output/transformer/label_encoder_maestras.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Results not connected to final experiment results,Prototype
